#
# Transition date estimate for bbc7
#
# Site: bbc7
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2024
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:10:01
# Spline RMSE gcc_mean: 0.00439
# Spline RMSE gcc_50: 0.00461
# Spline RMSE gcc_75: 0.00456
# Spline RMSE gcc_90: 0.00465
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bbc7,DB,1000,rising,gcc_50,2024-05-06,2024-05-09,2024-05-13,2024-05-05,2024-05-08,2024-05-12,2024-05-08,2024-05-10,2024-05-14,0.34351,0.36026,0.39166,0.33569,0.44599
bbc7,DB,1000,rising,gcc_mean,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.34475,0.35865,0.39072,0.33574,0.44346
bbc7,DB,1000,rising,gcc_mean,2017-05-02,2017-05-07,2017-05-14,2017-05-01,2017-05-06,2017-05-13,2017-05-04,2017-05-09,2017-05-15,0.34448,0.35872,0.38753,0.33421,0.43881
bbc7,DB,1000,rising,gcc_mean,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-12,2018-05-06,2018-05-09,2018-05-14,0.34454,0.35922,0.38756,0.33672,0.43516
bbc7,DB,1000,rising,gcc_mean,2019-05-10,2019-05-14,2019-05-19,2019-05-09,2019-05-13,2019-05-18,2019-05-12,2019-05-15,2019-05-20,0.3443,0.35822,0.38451,0.33737,0.42784
bbc7,DB,1000,rising,gcc_mean,2020-05-13,2020-05-16,2020-05-20,2020-05-12,2020-05-15,2020-05-19,2020-05-15,2020-05-17,2020-05-21,0.3427,0.36016,0.3957,0.33377,0.45163
bbc7,DB,1000,rising,gcc_mean,2021-05-04,2021-05-08,2021-05-13,2021-05-03,2021-05-07,2021-05-12,2021-05-06,2021-05-09,2021-05-14,0.34268,0.35855,0.39372,0.33363,0.44868
bbc7,DB,1000,rising,gcc_mean,2022-05-07,2022-05-11,2022-05-15,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-12,2022-05-16,0.34668,0.36486,0.39242,0.33806,0.44526
bbc7,DB,1000,rising,gcc_mean,2023-05-04,2023-05-07,2023-05-12,2023-05-03,2023-05-06,2023-05-10,2023-05-06,2023-05-08,2023-05-13,0.34814,0.36412,0.39591,0.34229,0.43743
bbc7,DB,1000,rising,gcc_mean,2024-05-06,2024-05-09,2024-05-13,2024-05-05,2024-05-08,2024-05-12,2024-05-08,2024-05-10,2024-05-14,0.34321,0.3598,0.39084,0.33507,0.44366
bbc7,DB,1000,falling,gcc_90,2024-10-05,2024-10-01,2024-09-24,2024-10-06,2024-10-02,2024-09-25,2024-10-03,2024-09-30,2024-09-23,0.34701,0.3632,0.3923,0.33816,0.44463
