#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:11:16
# Spline RMSE gcc_mean: 0.00566
# Spline RMSE gcc_50: 0.00586
# Spline RMSE gcc_75: 0.00579
# Spline RMSE gcc_90: 0.00588
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,rising,gcc_50,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-10,2016-05-14,2016-05-18,0.37894,0.39302,0.42659,0.3683,0.48186
bartlettir,DB,1000,rising,gcc_mean,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-08,2008-05-13,0.37154,0.38596,0.41834,0.36433,0.467
bartlettir,DB,1000,rising,gcc_mean,2009-04-29,2009-05-04,2009-05-11,2009-04-27,2009-05-03,2009-05-09,2009-05-02,2009-05-06,2009-05-12,0.36988,0.38267,0.41751,0.36092,0.46404
bartlettir,DB,1000,rising,gcc_mean,2010-04-25,2010-04-29,2010-05-03,2010-04-24,2010-04-28,2010-05-02,2010-04-27,2010-04-30,2010-05-04,0.37094,0.39017,0.4217,0.36295,0.47194
bartlettir,DB,1000,rising,gcc_mean,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-15,0.36912,0.38421,0.41567,0.36109,0.46469
bartlettir,DB,1000,rising,gcc_mean,2012-04-26,2012-05-03,2012-05-10,2012-04-17,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-11,0.37037,0.3857,0.42146,0.35945,0.47331
bartlettir,DB,1000,rising,gcc_mean,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.36917,0.38248,0.4175,0.36035,0.47268
bartlettir,DB,1000,rising,gcc_mean,2014-05-08,2014-05-12,2014-05-17,2014-05-07,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37103,0.39032,0.42795,0.36231,0.47821
bartlettir,DB,1000,rising,gcc_mean,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-07,2015-05-12,0.375,0.39085,0.4266,0.36627,0.47683
bartlettir,DB,1000,rising,gcc_mean,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.37631,0.3905,0.42423,0.36608,0.47983
bartlettir,DB,1000,falling,gcc_90,2016-10-07,2016-10-02,2016-09-24,2016-10-09,2016-10-03,2016-09-26,2016-10-04,2016-09-30,2016-09-23,0.38617,0.39949,0.42915,0.37742,0.47685
bartlettir,DB,1000,falling,gcc_90,2015-10-11,2015-10-06,2015-09-28,2015-10-12,2015-10-07,2015-09-30,2015-10-09,2015-10-04,2015-09-27,0.37873,0.39518,0.4253,0.36862,0.48029
bartlettir,DB,1000,falling,gcc_90,2014-10-14,2014-09-30,2014-09-21,2014-10-15,2014-10-10,2014-09-22,2014-10-13,2014-09-29,2014-09-20,0.37668,0.39582,0.42517,0.36732,0.48137
bartlettir,DB,1000,falling,gcc_90,2013-10-02,2013-09-27,2013-09-20,2013-10-03,2013-09-28,2013-09-22,2013-09-30,2013-09-26,2013-09-19,0.38208,0.39667,0.42654,0.37341,0.47286
bartlettir,DB,1000,falling,gcc_90,2012-10-01,2012-09-26,2012-09-18,2012-10-04,2012-09-27,2012-09-20,2012-09-29,2012-09-24,2012-09-17,0.37267,0.38597,0.41642,0.36363,0.46565
bartlettir,DB,1000,falling,gcc_90,2011-10-13,2011-10-06,2011-09-21,2011-10-14,2011-10-07,2011-09-24,2011-10-10,2011-10-03,2011-09-20,0.37269,0.38825,0.41753,0.36376,0.46693
